anomalies_in_C,anomaly_rate,backbone,conformal_auc,contamination_frac,dataset,degree_bin,flagged@0.05,fpr@0.05,method,n_cal,n_normals,n_test,raw_auc_all,runtime_s,seed,study,tpr@0.05
13,,,0.7078496270315664,0.0,cora,,0.054093567251461985,0.05053598774885146,,292,,684,,,0,contamination,
13,,,0.7078496270315664,0.02,cora,,0.054093567251461985,0.05053598774885146,,292,,684,,,0,contamination,
14,,,0.7023481368044922,0.05,cora,,0.05417276720351391,0.05053598774885146,,293,,683,,,0,contamination,
29,,,0.6721796835119959,0.1,cora,,0.04790419161676647,0.045941807044410414,,308,,668,,,0,contamination,
43,,,0.8583460949464011,0.15,cora,,0.0290519877675841,0.02909647779479326,,322,,654,,,0,contamination,
44,,,0.5,0.2,cora,,0.02909647779479326,0.02909647779479326,,323,,653,,,0,contamination,
44,,,0.5,0.25,cora,,0.02909647779479326,0.02909647779479326,,323,,653,,,0,contamination,
44,,,0.5,0.3,cora,,0.02909647779479326,0.02909647779479326,,323,,653,,,0,contamination,
15,,,0.6570666403201106,0.0,cora,,0.03508771929824561,0.03522205206738132,,292,,684,,,1,contamination,
15,,,0.6570666403201106,0.02,cora,,0.03508771929824561,0.03522205206738132,,292,,684,,,1,contamination,
15,,,0.6570666403201106,0.05,cora,,0.03508771929824561,0.03522205206738132,,292,,684,,,1,contamination,
29,,,0.6981803441131429,0.1,cora,,0.03731343283582089,0.036753445635528334,,306,,670,,,1,contamination,
43,,,0.5576824910668707,0.15,cora,,0.036585365853658534,0.036753445635528334,,320,,656,,,1,contamination,
46,,,0.5,0.2,cora,,0.036753445635528334,0.036753445635528334,,323,,653,,,1,contamination,
46,,,0.5,0.25,cora,,0.036753445635528334,0.036753445635528334,,323,,653,,,1,contamination,
46,,,0.5,0.3,cora,,0.036753445635528334,0.036753445635528334,,323,,653,,,1,contamination,
12,,,0.7207692307692308,0.0,cora,,0.06140350877192982,0.05384615384615385,,292,,684,,,2,contamination,
12,,,0.7207692307692308,0.02,cora,,0.06140350877192982,0.05384615384615385,,292,,684,,,2,contamination,
14,,,0.7380048076923076,0.05,cora,,0.06158357771260997,0.05384615384615385,,294,,682,,,2,contamination,
29,,,0.7614027149321266,0.1,cora,,0.05247376311844078,0.04923076923076923,,309,,667,,,2,contamination,
43,,,0.7346153846153847,0.15,cora,,0.04747320061255743,0.046153846153846156,,323,,653,,,2,contamination,
46,,,0.5,0.2,cora,,0.046153846153846156,0.046153846153846156,,326,,650,,,2,contamination,
46,,,0.5,0.25,cora,,0.046153846153846156,0.046153846153846156,,326,,650,,,2,contamination,
46,,,0.5,0.3,cora,,0.046153846153846156,0.046153846153846156,,326,,650,,,2,contamination,
18,,,0.6664118246687054,0.0,cora,,0.054093567251461985,0.05045871559633028,,292,,684,,,3,contamination,
18,,,0.6664118246687054,0.02,cora,,0.054093567251461985,0.05045871559633028,,292,,684,,,3,contamination,
18,,,0.6664118246687054,0.05,cora,,0.054093567251461985,0.05045871559633028,,292,,684,,,3,contamination,
29,,,0.6757605021728634,0.1,cora,,0.05794947994056464,0.05198776758409786,,303,,673,,,3,contamination,
43,,,0.7891437308868501,0.15,cora,,0.0409711684370258,0.04128440366972477,,317,,659,,,3,contamination,
48,,,0.5,0.2,cora,,0.045871559633027525,0.045871559633027525,,322,,654,,,3,contamination,
48,,,0.5,0.25,cora,,0.045871559633027525,0.045871559633027525,,322,,654,,,3,contamination,
48,,,0.5,0.3,cora,,0.045871559633027525,0.045871559633027525,,322,,654,,,3,contamination,
8,,,0.6442258000397535,0.0,cora,,0.049707602339181284,0.04961240310077519,,292,,684,,,4,contamination,
8,,,0.6442258000397535,0.02,cora,,0.049707602339181284,0.04961240310077519,,292,,684,,,4,contamination,
14,,,0.6333803147756636,0.05,cora,,0.05014749262536873,0.04961240310077519,,298,,678,,,4,contamination,
29,,,0.6081826012058569,0.1,cora,,0.049773755656108594,0.04961240310077519,,313,,663,,,4,contamination,
43,,,0.6135658914728683,0.15,cora,,0.05546995377503852,0.05426356589147287,,327,,649,,,4,contamination,
47,,,0.5,0.2,cora,,0.04961240310077519,0.04961240310077519,,331,,645,,,4,contamination,
47,,,0.5,0.25,cora,,0.04961240310077519,0.04961240310077519,,331,,645,,,4,contamination,
47,,,0.5,0.3,cora,,0.04961240310077519,0.04961240310077519,,331,,645,,,4,contamination,
16,,,0.7541567332966563,0.0,citeseer,,0.03098927294398093,0.02506265664160401,,359,,839,,,0,contamination,
16,,,0.7541567332966563,0.02,citeseer,,0.03098927294398093,0.02506265664160401,,359,,839,,,0,contamination,
17,,,0.7486372180451129,0.05,citeseer,,0.025059665871121718,0.021303258145363407,,360,,838,,,0,contamination,
35,,,0.808840282524493,0.1,citeseer,,0.023170731707317073,0.021303258145363407,,378,,820,,,0,contamination,
53,,,0.6090225563909775,0.15,citeseer,,0.0199501246882793,0.020050125313283207,,396,,802,,,0,contamination,
57,,,0.5,0.2,citeseer,,0.021303258145363407,0.021303258145363407,,400,,798,,,0,contamination,
57,,,0.5,0.25,citeseer,,0.021303258145363407,0.021303258145363407,,400,,798,,,0,contamination,
57,,,0.5,0.3,citeseer,,0.021303258145363407,0.021303258145363407,,400,,798,,,0,contamination,
